Country,Number_of_Bags,Harvest_Year,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Cupper_Points,Total_Cup_Points,Moisture,Category_One_Defects,Quakers,Color,Category_Two_Defects,altitude_low_meters,altitude_high_meters,altitude_mean_meters,Bag Weight,Colors,quality_score,Variety,Processing Method
guatemala,250,2012,7,7.5,7.33,7.17,7.17,7.17,10,10,10,7.33,80.67,0.11,0,0,green,3,others,others,others,1,green,80.67,Bourbon,Washed / Wet
colombia,149,others,7.17,7.25,7.08,7.42,7.08,7.42,10,10,10,7.25,80.67,0.18,0,0,others,2,others,others,others,70,bluish-green,80.67,,Other
brazil,94,2016,7.33,7.25,7.33,7.08,7.58,7.25,9.33,10,10,7.42,80.58,0.11,0,0,green,7,others,others,others,60,green,80.58,,Other
nicaragua,275,2016,7.08,7.5,7,7.25,7.42,7,10,10,10,7.33,80.58,0.11,0,1,green,0,others,others,others,69,green,80.58,,Other
"tanzania, united republic of",10,2014,7.25,7.08,7.08,7.33,7.33,7.25,10,10,10,7.25,80.58,0.12,0,0,bluish-green,1,1400,1400,1400,60,bluish-green,80.58,Other,Washed / Wet
brazil,300,2014,7.42,7.25,7.33,7,7.08,7.25,10,10,10,7.25,80.58,0,0,0,green,3,1200,1200,1200,2,green,80.58,Bourbon,Semi-washed / Semi-pulped
honduras,275,2014,7.5,7.17,7,7.42,7.33,7,10,10,10,7.17,80.58,0.11,0,0,green,5,1400,1400,1400,69,green,80.58,Caturra,Washed / Wet
guatemala,275,2014,7.17,7.42,6.83,7.5,7.17,7.25,10,10,10,7.25,80.58,0.11,0,0,green,5,1383.792,1383.792,1383.792,69,green,80.58,Bourbon,Natural / Dry
united states (hawaii),10,others,7.42,7.58,7.5,7.92,7.83,7.83,8.67,8.67,9.33,7.83,80.58,0,0,0,others,0,others,others,others,100,bluish-green,80.58,,Other
colombia,149,others,7.08,7.25,7,7.5,7.08,7.33,10,10,10,7.33,80.58,0,0,0,others,2,others,others,others,70,bluish-green,80.58,,Other
taiwan,20,2017,7.17,7.17,7.17,7.42,7.17,7.25,10,10,10,7.17,80.5,0,0,0,bluish-green,0,50,50,50,5,bluish-green,80.5,Other,Natural / Dry
guatemala,275,2017,7.33,7.25,7.08,7.17,7.25,7.17,10,10,10,7.25,80.5,0.1,0,0,green,4,1500,1500,1500,69,green,80.5,Caturra,Washed / Wet
honduras,15,2017,7.58,7.33,7,7.17,7.33,7.08,10,10,10,7,80.5,0.11,0,0,green,5,1650,1650,1650,69,green,80.5,Catuai,Washed / Wet
mauritius,1,2016,7.25,7.25,7.17,7.17,7.25,7.17,10,10,10,7.25,80.5,0.12,0,0,green,0,280,280,280,2,green,80.5,,Other
brazil,300,2015,7.25,7.33,7.17,7.5,7.33,7.25,9.33,10,10,7.33,80.5,0.11,0,0,green,3,1250,1250,1250,60,green,80.5,Yellow Bourbon,Semi-washed / Semi-pulped
myanmar,1,2015,7.17,7.33,7.17,7.42,7.25,7.08,10,10,10,7.08,80.5,0,0,0,green,2,3800,3800,3800,2,green,80.5,Other,Washed / Wet
guatemala,275,2014,7.5,7.17,6.83,7.5,7.17,7.17,10,10,10,7.17,80.5,0.11,0,0,green,3,1219.2,1219.2,1219.2,69,green,80.5,Other,Washed / Wet
