Country,Number_of_Bags,Harvest_Year,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Cupper_Points,Total_Cup_Points,Moisture,Category_One_Defects,Quakers,Color,Category_Two_Defects,altitude_low_meters,altitude_high_meters,altitude_mean_meters,Bag Weight,Colors,quality_score,Variety,Processing Method
ethiopia,300,2014,8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75,90.58,0.12,0,0,green,0,1950,2200,2075,60,green,90.58,,Washed / Wet
ethiopia,300,2014,8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,89.92,0.12,0,0,green,1,1950,2200,2075,60,green,89.92,Other,Washed / Wet
guatemala,5,others,8.42,8.5,8.42,8.42,8.33,8.42,10,10,10,9.25,89.75,0,0,0,others,0,1600,1800,1700,1,bluish-green,89.75,Bourbon,Other
ethiopia,320,2014,8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67,89,0.11,0,0,green,2,1800,2200,2000,60,green,89,,Natural / Dry
ethiopia,300,2014,8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,88.83,0.12,0,0,green,2,1950,2200,2075,60,green,88.83,Other,Washed / Wet
brazil,100,2013,8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,8.33,88.83,0.11,0,0,bluish-green,1,others,others,others,30,bluish-green,88.83,,Natural / Dry
peru,100,2012,8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,8.5,88.75,0.11,0,0,bluish-green,0,others,others,others,69,bluish-green,88.75,Other,Washed / Wet
ethiopia,300,2010,8.25,8.33,8.5,8.42,8.33,8.5,10,10,9.33,9,88.67,0.03,0,0,others,0,1570,1700,1635,60,bluish-green,88.67,,Other
ethiopia,300,2010,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10,9.33,8.67,88.42,0.03,0,0,others,0,1570,1700,1635,60,bluish-green,88.42,,Other
ethiopia,50,2014,8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,88.25,0.1,0,0,green,4,1795,1850,1822.5,60,green,88.25,Other,Natural / Dry
ethiopia,300,2014,8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,8.58,88.08,0.1,0,0,others,1,1855,1955,1905,60,bluish-green,88.08,,Natural / Dry
united states,10,2014,8.25,8.42,8.17,8.33,8.08,8.17,10,10,10,8.5,87.92,0,0,0,others,0,1872,1872,1872,1,bluish-green,87.92,Other,Washed / Wet
united states,10,2014,8.08,8.67,8.33,8.42,8,8.08,10,10,10,8.33,87.92,0,0,0,others,0,1943,1943,1943,1,bluish-green,87.92,Other,Washed / Wet
united states (hawaii),1,2010,8.33,8.42,8.08,8.25,8.25,8,10,10,10,8.58,87.92,0,0,0,others,2,609.6,609.6,609.6,1,bluish-green,87.92,,Other
ethiopia,300,2010,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10,9.33,8.5,87.83,0.05,0,0,others,2,1570,1700,1635,60,bluish-green,87.83,,Other
united states,10,2014,8,8.5,8.58,8.17,8.17,8,10,10,10,8.17,87.58,0,0,0,others,0,2080,2080,2080,1,bluish-green,87.58,Other,Washed / Wet
indonesia,1,2010,8.33,8.25,7.83,7.75,8.5,8.42,10,10,10,8.33,87.42,0.03,0,0,others,0,1200,1800,1500,2,bluish-green,87.42,,Other
ethiopia,150,2009,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10,9.33,8.83,87.33,0.05,0,0,others,2,others,others,others,6,bluish-green,87.33,,Other
china,3,2015,8.42,8.25,8.08,8.17,7.92,8,10,10,10,8.42,87.25,0.1,0,0,green,0,1450,1450,1450,60,green,87.25,Catimor,Washed / Wet
ethiopia,250,2014,8.17,8.17,8,8.17,8.08,8.33,10,10,10,8.33,87.25,0,0,0,others,8,1700,2000,1850,60,bluish-green,87.25,Ethiopian Yirgacheffe,Natural / Dry
united states,10,2014,8,8.25,8.08,8.5,8.25,8,10,10,10,8.17,87.25,0,0,0,others,0,2019,2019,2019,1,bluish-green,87.25,Other,Washed / Wet
costa rica,250,2014,8.08,8.25,8,8.17,8,8.33,10,10,10,8.33,87.17,0.11,0,0,green,2,1300,1300,1300,3,green,87.17,Caturra,Washed / Wet
mexico,14,2012,8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58,87.17,0.13,0,0,green,0,1320,1320,1320,1,green,87.17,Other,Washed / Wet
united states,10,2014,8.25,8.33,8.17,8.17,7.83,8.17,10,10,10,8.17,87.08,0,0,0,others,0,2112,2112,2112,1,bluish-green,87.08,Other,Washed / Wet
ethiopia,100,2013,8.42,8.17,7.92,8.17,8.33,8,10,10,10,8.08,87.08,0.11,0,0,bluish-green,1,others,others,others,60,bluish-green,87.08,,Natural / Dry
brazil,3,2011,8.5,8.5,8,8,8,8,10,10,10,7.92,86.92,0.12,0,0,green,2,1250,1250,1250,60,green,86.92,Bourbon,Natural / Dry
ethiopia,150,2009,7.83,8.25,8.08,8.17,8.17,8.17,10,10,10,8.25,86.92,0.05,0,0,others,2,others,others,others,6,bluish-green,86.92,,Other
uganda,100,2013,8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,8.17,86.83,0.12,0,0,green,1,1950,1950,1950,60,green,86.83,SL14,Washed / Wet
honduras,275,2016,8.17,8.08,8.08,8,8.08,8,10,10,10,8.25,86.67,0.1,0,0,green,3,1400,1400,1400,69,green,86.67,Caturra,Other
taiwan,20,2015,8,8,8,8.25,8,8.17,10,10,10,8.17,86.58,0,0,0,green,0,1200,1200,1200,50,green,86.58,Sumatra,Pulped natural / honey
nicaragua,275,others,7.92,8.25,8,8.33,8,8.08,10,10,10,8,86.58,0.08,0,0,others,2,others,others,others,6,bluish-green,86.58,,Other
"tanzania, united republic of",100,2012,8.42,8.17,8.17,8,7.58,8,10,10,10,8.17,86.5,0.11,0,0,bluish-green,1,others,others,others,60,bluish-green,86.5,,Natural / Dry
brazil,29,2011,8.5,8.17,8,7.75,8,8,10,10,10,8,86.42,0.12,0,0,green,2,1300,1300,1300,60,green,86.42,Bourbon,Natural / Dry
costa rica,250,2015,8.17,7.83,8,8.08,7.83,8,10,10,10,8.42,86.33,0,0,0,bluish-green,0,1300,1300,1300,2,bluish-green,86.33,Caturra,Washed / Wet
ethiopia,320,2014,8,8.08,7.92,8,8.08,8.08,10,10,10,8.08,86.25,0.1,0,0,green,3,1750,1800,1775,60,green,86.25,,Natural / Dry
kenya,320,2013,8.08,8,8,8.25,7.92,7.92,10,10,10,8.08,86.25,0.12,0,0,bluish-green,1,1800,1800,1800,1,bluish-green,86.25,SL34,Washed / Wet
united states (hawaii),10,2012,8.08,8.17,8,7.92,7.92,7.83,10,10,10,8.33,86.25,0,1,0,others,4,others,others,others,100,bluish-green,86.25,Hawaiian Kona,Natural / Dry
united states (hawaii),25,2010,8.25,8.42,8.08,7.75,7.67,7.83,10,10,10,8.25,86.25,0,2,0,others,1,others,others,others,100,bluish-green,86.25,,Other
ethiopia,300,2009,7.92,7.75,8.08,8.08,8.08,8.17,10,10,10,8.17,86.25,0.1,0,0,others,2,others,others,others,6,bluish-green,86.25,,Other
united states,10,2014,7.67,8.17,8,8,8.17,8.08,10,10,10,8.08,86.17,0,0,0,others,0,1941,1941,1941,1,bluish-green,86.17,Other,Washed / Wet
thailand,53,2012,7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,8.42,86.17,0.1,1,0,green,9,1300,1300,1300,1,green,86.17,Caturra,Washed / Wet
brazil,300,2010,8.17,7.92,7.92,7.75,8.33,8,10,10,10,8.08,86.17,0.08,0,0,others,2,12,12,12,60,bluish-green,86.17,Yellow Bourbon,Other
brazil,300,2010,8.42,7.92,8,7.75,7.92,8,10,10,10,8.17,86.17,0.01,0,0,others,3,12,12,12,60,bluish-green,86.17,Yellow Bourbon,Other
taiwan,10,2015,8.08,8.17,7.75,8.08,7.75,7.83,10,10,10,8.42,86.08,0.12,0,0,green,0,1000,1000,1000,15,green,86.08,Bourbon,Semi-washed / Semi-pulped
kenya,12,2014,8.08,8.08,8,8,7.83,8.08,10,10,10,8,86.08,0.11,0,0,bluish-green,2,1754,1754,1754,60,bluish-green,86.08,SL28,Natural / Dry
brazil,7,2011,8.33,8,8,8,7.75,8,10,10,10,8,86.08,0.11,0,0,bluish-green,2,1250,1250,1250,60,bluish-green,86.08,Bourbon,Semi-washed / Semi-pulped
uganda,1,2014,8.08,8.08,7.83,7.92,8.08,7.92,10,10,10,8.08,86,0,0,0,others,0,others,others,others,60,bluish-green,86,,Semi-washed / Semi-pulped
colombia,1,2013,7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,8.17,86,0.12,1,0,green,1,900,1500,1200,2,green,86,Caturra,Washed / Wet
kenya,1,2013,7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,8.17,86,0.11,0,0,green,1,1520,2200,1860,1,green,86,SL28,Washed / Wet
uganda,1,2012,8.25,8,7.83,8.08,8,7.92,10,10,10,7.92,86,0.1,0,0,bluish-green,0,1400,1900,1650,60,bluish-green,86,Other,Washed / Wet
ethiopia,300,2009,7.75,8.08,8,8.25,8,8,10,10,10,7.92,86,0.01,0,0,others,4,1500,2000,1750,6,bluish-green,86,,Other
united states (hawaii),1,2009,8.33,8.17,7.75,8,7.75,7.83,10,10,10,8.17,86,0,0,0,others,0,426.72,426.72,426.72,2,bluish-green,86,,Other
guatemala,80,2016,7.92,8.08,7.92,8.08,8.08,7.83,10,10,10,8,85.92,0.1,0,1,green,3,others,others,others,69,green,85.92,Bourbon,Washed / Wet
uganda,1,2013,8.17,8.17,7.92,8.08,7.83,7.75,10,10,10,8,85.92,0.12,0,0,green,0,1400,1900,1650,60,green,85.92,SL14,Natural / Dry
colombia,275,2013,8,8,8,8.17,7.83,8,10,10,10,7.92,85.92,0,1,0,bluish-green,0,1800,1800,1800,70,bluish-green,85.92,Caturra,Washed / Wet
panama,37,2017,8,8,7.92,8.08,7.83,8,10,10,10,8,85.83,0.08,0,1,bluish-green,0,1600,1600,1600,60,bluish-green,85.83,Gesha,Washed / Wet
ethiopia,320,2014,7.83,8.08,7.92,8.08,8,7.92,10,10,10,8,85.83,0.1,0,0,green,4,1800,2000,1900,60,green,85.83,,Washed / Wet
guatemala,150,2012,7.83,8,8,8.17,7.83,8,10,10,10,8,85.83,0.12,0,0,green,3,1524,1524,1524,1,green,85.83,Bourbon,Washed / Wet
guatemala,275,2012,8,8,7.83,8.33,7.83,7.83,10,10,10,8,85.83,0.1,0,0,bluish-green,1,1417.32,1417.32,1417.32,1,bluish-green,85.83,Catuai,Washed / Wet
ethiopia,320,2017,7.83,8,7.83,8.17,7.92,8,10,10,10,8,85.75,0.09,0,4,others,7,others,others,others,19200,bluish-green,85.75,Caturra,Natural / Dry
peru,280,2013,8,8,8,8.08,7.92,7.75,10,10,10,8,85.75,0.1,4,0,green,6,others,others,others,5,green,85.75,,Washed / Wet
papua new guinea,7,2012,8.33,8.42,7.83,8.33,8,8.25,9.33,9.33,10,7.92,85.75,0.12,0,0,bluish-green,1,1700,1700,1700,60,bluish-green,85.75,,Washed / Wet
el salvador,275,2013,7.92,8.17,8,7.92,7.75,7.83,10,10,10,8,85.58,0.1,0,0,bluish-green,3,1500,1500,1500,2,bluish-green,85.58,Bourbon,Washed / Wet
el salvador,19,2012,7.83,8,8,7.75,7.92,8.17,10,10,10,7.92,85.58,0.11,0,0,others,0,1300,1400,1350,1,bluish-green,85.58,Bourbon,Semi-washed / Semi-pulped
united states (hawaii),8,2012,7.83,8,7.92,7.75,8.08,8,10,10,10,8,85.58,0,0,0,others,1,others,others,others,100,bluish-green,85.58,Hawaiian Kona,Natural / Dry
panama,100,2014,8,7.75,7.83,7.83,7.67,8.58,10,10,10,7.83,85.5,0.09,2,0,others,2,1680,1680,1680,60,bluish-green,85.5,Caturra,Natural / Dry
kenya,16,2014,7.92,7.92,7.83,8.08,7.83,7.92,10,10,10,8,85.5,0.1,0,0,green,3,1900,1900,1900,60,green,85.5,SL28,Natural / Dry
ethiopia,320,2015,7.83,8,7.83,7.92,7.83,8.08,10,10,10,8,85.5,0.12,0,0,green,7,1800,2000,1900,60,green,85.5,Other,Natural / Dry
uganda,320,2013,8.33,7.92,7.67,7.92,7.67,7.92,10,10,10,8.08,85.5,0.12,0,0,green,1,1600,1600,1600,60,green,85.5,SL14,Washed / Wet
guatemala,250,2013,8,7.83,7.67,8.33,7.83,8,10,10,10,7.83,85.5,0.11,0,0,green,1,1706.88,1755.648,1731.264,69,green,85.5,Bourbon,Washed / Wet
ethiopia,320,2015,7.75,7.83,7.83,8.17,7.92,7.83,10,10,10,8.08,85.42,0.1,0,0,green,18,1800,2000,1900,60,green,85.42,,Washed / Wet
uganda,150,2013,8.08,8,7.83,7.67,8,7.83,10,10,10,8,85.42,0.12,0,0,green,5,1950,1950,1950,60,green,85.42,SL14,Washed / Wet
united states (hawaii),8,2012,7.92,7.92,7.75,7.92,7.75,7.92,10,10,10,8.25,85.42,0,4,0,others,6,others,others,others,100,bluish-green,85.42,Hawaiian Kona,Natural / Dry
brazil,5,2011,8,8,8,7.67,7.75,8,10,10,10,8,85.42,0.11,0,0,bluish-green,1,1250,1250,1250,60,bluish-green,85.42,Bourbon,Semi-washed / Semi-pulped
el salvador,2,2009,8.08,7.83,7.83,8.08,7.83,7.83,10,10,10,7.92,85.42,0.01,0,0,others,0,1400,1400,1400,1,bluish-green,85.42,,Other
china,3,2015,8,8,8,7.83,7.83,7.75,10,10,10,7.92,85.33,0.1,0,0,green,0,1700,1700,1700,60,green,85.33,Catimor,Natural / Dry
guatemala,36,2014,7.83,7.75,7.83,7.67,7.83,8.58,10,10,10,7.83,85.33,0.11,0,0,green,1,1770,1770,1770,30,green,85.33,Pacamara,Natural / Dry
costa rica,250,2014,7.92,8.08,8,7.92,8,8.08,10,10,9.33,8,85.33,0,0,0,bluish-green,0,1300,1300,1300,3,bluish-green,85.33,Caturra,Washed / Wet
costa rica,250,2014,8,7.58,7.58,7.67,8.08,8.5,10,10,10,7.92,85.33,0.1,0,0,bluish-green,2,1300,1300,1300,3,bluish-green,85.33,Caturra,Washed / Wet
kenya,20,2012,7.83,8.08,7.75,8.08,7.92,7.75,10,10,10,7.92,85.33,0,0,0,green,2,1600,1600,1600,60,green,85.33,SL34,Washed / Wet
kenya,300,2012,8,7.92,7.92,8.08,7.83,7.75,10,10,10,7.83,85.33,0,0,0,green,6,1200,1200,1200,60,green,85.33,SL34,Washed / Wet
ethiopia,360,2009,7.83,7.83,7.92,8.08,7.75,7.83,10,10,10,8.08,85.33,0.05,0,0,others,2,others,others,others,6,bluish-green,85.33,,Other
ethiopia,300,2009,7.92,7.83,7.75,8.33,7.75,7.75,10,10,10,8,85.33,0.1,0,0,others,3,others,others,others,6,bluish-green,85.33,Typica,Other
guatemala,250,2016,8,7.92,7.75,8,7.92,7.83,10,10,10,7.83,85.25,0.1,0,2,green,2,others,others,others,69,green,85.25,Bourbon,Other
colombia,275,2015,8.17,7.92,7.83,8,7.58,7.83,10,10,10,7.92,85.25,0.11,0,0,green,0,1550,1550,1550,70,green,85.25,Caturra,Washed / Wet
colombia,250,2014,7.58,8.08,7.92,7.83,8,7.92,10,10,10,7.92,85.25,0.12,0,0,green,2,1550,1550,1550,70,green,85.25,Caturra,Natural / Dry
indonesia,54,2012,7.75,7.83,7.67,8,8.08,7.83,10,10,10,8,85.17,0.11,0,0,green,3,1250,1400,1325,60,green,85.17,Sumatra Lintong,Semi-washed / Semi-pulped
guatemala,250,2012,8.25,8,7.67,7.92,7.75,7.67,10,10,10,7.92,85.17,0,0,0,others,7,1400,1400,1400,1,bluish-green,85.17,Caturra,Washed / Wet
ethiopia,320,2016,7.75,8,7.58,8,8,7.92,10,10,10,7.83,85.08,0.11,0,1,green,8,others,others,others,19200,green,85.08,Other,Natural / Dry
colombia,250,2015,8.17,7.83,7.58,8.08,8,7.75,10,10,10,7.67,85.08,0,0,0,others,0,2560,2560,2560,70,bluish-green,85.08,Caturra,Natural / Dry
ethiopia,100,2014,8.42,8,7.42,8,7.92,7.92,9.33,10,10,8.08,85.08,0.1,2,0,green,7,1700,1700,1700,60,green,85.08,,Natural / Dry
united states (hawaii),12,2014,7.58,7.83,7.83,7.92,7.83,8.17,10,10,10,7.92,85.08,0.11,2,0,bluish-green,2,others,others,others,100,bluish-green,85.08,Hawaiian Kona,Natural / Dry
colombia,250,2012,7.83,8,7.75,7.75,7.83,7.83,10,10,10,8.08,85.08,0.11,0,0,green,8,2136,2136,2136,70,green,85.08,Caturra,Natural / Dry
united states (hawaii),13,2010,8.08,8.17,7.92,8,8.08,8,9.33,9.33,10,8.17,85.08,0.01,1,0,others,7,others,others,others,100,bluish-green,85.08,,Other
ethiopia,360,2010,7.67,8,7.83,8,7.92,7.83,10,10,10,7.83,85.08,0,0,0,others,5,others,others,others,6,bluish-green,85.08,,Other
united states (hawaii),27,others,7.5,7.92,8.25,7.83,7.92,7.75,10,10,10,7.92,85.08,0,0,0,others,0,others,others,others,0,bluish-green,85.08,,Other
uganda,200,2016,8.17,7.92,7.75,7.75,7.67,7.75,10,10,10,8,85,0.11,0,0,green,1,1800,1800,1800,60,green,85,SL14,Washed / Wet
colombia,135,2016,8,7.92,7.75,7.92,7.75,7.83,10,10,10,7.83,85,0,0,0,green,3,others,others,others,70,green,85,Caturra,Washed / Wet
costa rica,36,2016,7.83,8,7.58,7.92,7.92,7.83,10,10,10,7.92,85,0.12,1,1,green,1,1900,1900,1900,46,green,85,Catuai,Washed / Wet
mexico,1,2015,7.83,8,7.83,7.75,7.67,7.83,10,10,10,8.08,85,0.09,0,0,green,3,1300,1300,1300,30,green,85,Typica,Washed / Wet
kenya,170,2015,8.17,7.83,7.92,7.75,7.67,7.83,10,10,10,7.83,85,0.11,0,5,green,7,1,1,1,60,green,85,,Washed / Wet
kenya,38,2012,7.75,7.83,7.75,8.08,8,7.75,10,10,10,7.83,85,0,0,0,green,5,1580,1580,1580,60,green,85,SL34,Washed / Wet
brazil,31,2012,8,8,7.83,7.83,7.67,7.67,10,10,10,8,85,0.12,0,0,green,3,1100,1100,1100,60,green,85,Mundo Novo,Natural / Dry
mexico,1,2010,7.92,8.17,7.75,8.08,7.42,7.83,10,10,10,7.83,85,0,0,0,others,0,1400,1400,1400,1,bluish-green,85,Pacamara,Other
united states (hawaii),15,others,7.75,7.92,7.75,7.75,8,8,10,10,10,7.83,85,0,0,0,others,1,others,others,others,100,bluish-green,85,,Other
guatemala,275,2009,7.83,8.08,7.67,8,7.75,7.67,10,10,10,8,85,0.04,0,0,others,1,1066.8,1584.96,1325.88,69,bluish-green,85,,Other
colombia,243,2016,7.92,7.92,7.67,7.83,7.92,7.83,10,10,10,7.83,84.92,0,1,6,others,2,others,others,others,70,bluish-green,84.92,Caturra,Washed / Wet
colombia,252,2015,7.92,7.83,7.75,7.83,7.75,8,10,10,10,7.83,84.92,0.12,0,0,green,1,1600,1950,1775,70,green,84.92,Caturra,Washed / Wet
taiwan,20,2015,7.67,7.83,8,7.58,8,7.92,10,10,10,7.92,84.92,0.11,0,0,green,0,800,800,800,40,green,84.92,Typica,Semi-washed / Semi-pulped
"tanzania, united republic of",134,2014,8,7.83,7.83,7.92,7.75,7.75,10,10,10,7.83,84.92,0.12,0,0,green,2,1620,1620,1620,60,green,84.92,Other,Washed / Wet
colombia,50,2012,7.75,7.92,7.83,7.75,7.75,8,10,10,10,7.92,84.92,0.11,0,0,green,3,1600,1950,1775,70,green,84.92,Caturra,Washed / Wet
mexico,25,2012,7.75,8,7.75,7.83,7.5,7.92,10,10,10,8.17,84.92,0.11,0,0,others,0,1200,1200,1200,1,bluish-green,84.92,Typica,Semi-washed / Semi-pulped
brazil,4,2011,8,7.92,7.75,7.75,8,7.75,10,10,10,7.75,84.92,0.11,0,0,green,2,1200,1200,1200,60,green,84.92,Bourbon,Natural / Dry
brazil,10,2011,8,8,7.75,8,7.5,7.75,10,10,10,7.92,84.92,0.12,0,0,green,2,1000,1000,1000,60,green,84.92,Catuai,Natural / Dry
kenya,320,2009,8,7.67,7.83,8.17,7.92,7.75,10,10,10,7.58,84.92,0.06,1,0,others,9,others,others,others,60,bluish-green,84.92,,Other
taiwan,10,2016,7.92,7.58,7.83,7.83,7.83,7.83,10,10,10,8,84.83,0,0,0,green,0,350,350,350,20,green,84.83,Typica,Natural / Dry
uganda,1,2013,7.75,7.92,7.67,7.67,8.25,7.75,10,10,10,7.83,84.83,0.12,0,0,green,1,1400,1900,1650,60,green,84.83,SL14,Natural / Dry
united states (hawaii),14,2012,7.67,7.75,7.75,7.75,7.83,8,10,10,10,8.08,84.83,0,3,0,others,15,others,others,others,100,bluish-green,84.83,Hawaiian Kona,Natural / Dry
ethiopia,300,2009,7.75,7.92,7.83,7.92,7.75,7.67,10,10,10,8,84.83,0.1,0,0,others,2,1500,2000,1750,6,bluish-green,84.83,,Other
ethiopia,300,2009,7.42,7.92,7.92,8,7.83,7.83,10,10,10,7.92,84.83,0.1,0,0,others,4,1500,2000,1750,6,bluish-green,84.83,,Other
thailand,50,2015,7.75,7.75,7.75,7.75,8,7.75,10,10,10,8,84.75,0.12,0,0,green,0,others,others,others,50,green,84.75,Caturra,Pulped natural / honey
kenya,150,2014,7.92,7.83,7.58,7.92,7.75,7.83,10,10,10,7.92,84.75,0.13,0,0,green,0,1800,1800,1800,60,green,84.75,SL34,Washed / Wet
honduras,275,2014,7.83,7.75,8,7.67,7.67,7.67,10,10,10,8.17,84.75,0.11,0,0,green,4,1450,1450,1450,1,green,84.75,Catuai,Washed / Wet
el salvador,250,2010,7.75,8,8,8.33,7.67,7.92,10,10,9.33,7.75,84.75,0.15,0,0,others,3,1200,1200,1200,69,bluish-green,84.75,,Other
nicaragua,2,2009,7.83,7.58,7.58,7.83,7.75,7.67,10,10,10,8.5,84.75,0.18,0,0,others,2,800,1050,925,6,bluish-green,84.75,,Other
el salvador,150,2016,7.83,7.83,7.5,8,7.83,7.67,10,10,10,8,84.67,0,0,0,bluish-green,2,1350,1350,1350,69,bluish-green,84.67,Bourbon,Washed / Wet
indonesia,2,2016,7.92,7.83,7.75,7.75,7.75,7.75,10,10,10,7.92,84.67,0.12,0,0,green,7,1200,1200,1200,1,green,84.67,Java,Washed / Wet
japan,20,others,7.75,7.75,7.75,7.42,8.08,7.83,10,10,10,8.08,84.67,0.12,0,0,green,0,170,170,170,1,green,84.67,Mundo Novo,Pulped natural / honey
costa rica,15,2015,8.08,7.75,7.67,7.83,7.5,7.92,10,10,10,7.92,84.67,0.1,0,0,bluish-green,2,1150,1150,1150,69,bluish-green,84.67,Catuai,Washed / Wet
guatemala,120,2015,7.75,7.83,7.58,8,7.92,7.75,10,10,10,7.83,84.67,0.1,0,0,green,1,1600,1600,1600,34,green,84.67,Bourbon,Washed / Wet
costa rica,50,2014,8.17,8,7.83,7.17,7.83,7.75,10,10,10,7.92,84.67,0.12,0,0,green,0,1750,1750,1750,1,green,84.67,Caturra,Washed / Wet
ethiopia,250,2014,8.08,7.83,7.75,7.83,7.58,7.67,10,10,10,7.92,84.67,0.1,0,0,others,3,1900,1900,1900,30,bluish-green,84.67,Ethiopian Yirgacheffe,Washed / Wet
costa rica,20,2014,7.67,7.58,7.75,7.75,7.67,8.58,10,10,10,7.67,84.67,0.08,0,0,green,1,1750,1750,1750,69,green,84.67,Other,Other
costa rica,275,2014,8,7.58,7.83,7.75,7.75,7.75,10,10,10,8,84.67,0.11,0,0,green,4,1200,1200,1200,1,green,84.67,Catuai,Washed / Wet
costa rica,1,2012,8.08,7.83,7.75,7.83,7.92,8,10,10,9.33,7.92,84.67,0,1,0,green,10,others,others,others,2,green,84.67,,Washed / Wet
taiwan,10,2013,8,7.92,7.75,7.75,7.75,7.75,10,10,10,7.75,84.67,0.11,0,0,green,0,1000,1000,1000,30,green,84.67,Typica,Washed / Wet
colombia,250,2013,7.75,7.83,7.75,7.83,7.75,7.83,10,10,10,7.92,84.67,0,0,0,green,0,1550,1550,1550,70,green,84.67,Caturra,Washed / Wet
kenya,235,2012,7.75,7.92,7.83,8,7.58,7.75,10,10,10,7.83,84.67,0.11,0,0,bluish-green,0,2000,2000,2000,60,bluish-green,84.67,SL28,Washed / Wet
guatemala,250,2012,8,7.83,7.67,7.83,7.67,8,10,10,10,7.67,84.67,0.11,0,0,green,4,1310.64,1310.64,1310.64,1,green,84.67,Bourbon,Washed / Wet
guatemala,125,2012,7.67,7.83,7.67,8,7.67,7.83,10,10,10,8,84.67,0.12,0,0,green,4,1524,1524,1524,1,green,84.67,Bourbon,Washed / Wet
mexico,80,2012,7.83,7.58,7.67,7.92,7.92,7.83,10,10,10,7.92,84.67,0.13,0,0,others,3,1200,1200,1200,1,bluish-green,84.67,Typica,Washed / Wet
uganda,320,2012,7.92,7.83,7.75,7.92,7.67,7.75,10,10,10,7.83,84.67,0.11,0,0,bluish-green,3,1700,1850,1775,60,bluish-green,84.67,Other,Washed / Wet
peru,1,others,7.67,7.83,7.75,7.75,7.92,7.83,10,10,10,7.92,84.67,0,0,0,others,3,others,others,others,60,bluish-green,84.67,,Other
ethiopia,300,2009,7.42,7.75,7.75,8,8,7.92,10,10,10,7.83,84.67,0.2,0,0,others,3,1500,2000,1750,6,bluish-green,84.67,,Other
kenya,66,others,7.92,7.75,7.83,7.75,7.58,7.92,10,10,10,7.83,84.58,0.11,0,0,bluish-green,5,1754,1754,1754,60,bluish-green,84.58,SL34,Washed / Wet
colombia,250,2016,7.83,7.67,7.58,7.92,7.67,7.83,10,10,10,8.08,84.58,0,0,0,bluish-green,4,1500,1500,1500,70,bluish-green,84.58,Other,Washed / Wet
colombia,125,2016,7.92,7.83,7.58,8,7.83,7.67,10,10,10,7.75,84.58,0,0,1,green,5,others,others,others,70,green,84.58,Caturra,Washed / Wet
kenya,100,2013,7.83,7.83,7.83,7.75,7.58,7.83,10,10,10,7.92,84.58,0.1,0,0,bluish-green,2,1800,1800,1800,60,bluish-green,84.58,Peaberry,Washed / Wet
guatemala,250,2014,7.75,7.83,7.67,7.92,7.75,7.83,10,10,10,7.83,84.58,0.11,0,0,green,1,1524,1524,1524,69,green,84.58,Pacas,Washed / Wet
guatemala,250,2014,8,7.92,7.67,7.58,7.58,7.67,10,10,10,8.17,84.58,0.09,0,0,green,0,1219.2,1219.2,1219.2,69,green,84.58,Bourbon,Washed / Wet
colombia,250,2013,7.67,7.67,7.58,7.75,7.58,8.5,10,10,10,7.83,84.58,0,0,0,others,0,1550,1550,1550,70,bluish-green,84.58,Caturra,Washed / Wet
colombia,75,2013,7.75,7.75,7.83,7.75,7.58,8,10,10,10,7.92,84.58,0,0,0,others,5,1600,1900,1750,70,bluish-green,84.58,Caturra,Washed / Wet
kenya,11,2013,7.75,7.75,7.75,8.08,7.75,7.75,10,10,10,7.75,84.58,0,0,0,green,0,others,others,others,660,green,84.58,SL28,Washed / Wet
colombia,250,2012,7.67,7.83,7.83,8,7.58,7.92,10,10,10,7.75,84.58,0,0,0,green,2,1750,1750,1750,70,green,84.58,Caturra,Washed / Wet
costa rica,1,2012,7.75,7.83,7.75,8,7.83,7.67,10,10,10,7.75,84.58,0.12,0,0,bluish-green,2,1450,1700,1575,1,bluish-green,84.58,Bourbon,Semi-washed / Semi-pulped
colombia,250,2012,7.42,7.67,7.75,7.75,8.08,7.83,10,10,10,8.08,84.58,0.11,0,0,green,6,1800,1800,1800,70,green,84.58,Caturra,Washed / Wet
brazil,37,2011,8,8,7.75,7.75,7.58,7.75,10,10,10,7.75,84.58,0.12,0,0,green,2,1300,1300,1300,60,green,84.58,Bourbon,Semi-washed / Semi-pulped
