Country,Region,Producer,Number_of_Bags,Country_Partner,Harvest_Year,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Cupper_Points,Total_Cup_Points,Moisture,Category_One_Defects,Quakers,Color,Category_Two_Defects,altitude_low_meters,altitude_high_meters,altitude_mean_meters,Bag_Weight,Colors,quality_score,Variety,Processing Method
costa rica,brunca,coopeagri,275,specialty coffee association,2013,7.58,7.5,7.67,7.75,7.67,7.58,8,8,10,8,79.75,0.1,0,0,bluish-green,4,1100,1100,1300,2,bluish-green,79.75,Catuai,Washed / Wet
mexico,"la concordia, chiapas",union ramal santa cruz,310,amecafe,2013,7.58,7.08,7,7,7.5,6.92,10,10,10,6.67,79.75,0.12,0,0,green,4,1400,1400,1400,1,green,79.75,Typica,Washed / Wet
mexico,chiapas,comonyaj noptic s de ss,275,amecafe,2013,7.58,7.08,6.92,7.58,7.5,6.92,10,9.33,10,6.83,79.75,0.13,0,0,green,4,1022,1022,1550,1,green,79.75,Bourbon,Washed / Wet
mexico,chiapas,varios productores,380,amecafe,2013,7.25,7.08,7,7.17,7.17,7.08,10,10,10,7,79.75,0.12,0,0,green,5,1300,1300,1600,1,green,79.75,Bourbon,Washed / Wet
mexico,zaragoza itundujia,minerva zuñiga garcia,12,amecafe,2012,7.25,7.17,7.17,7.08,7.17,7,10,10,10,6.92,79.75,0.14,0,0,others,0,1450,1450,1400,1,bluish-green,79.75,Bourbon,Washed / Wet
mexico,pochutla,angel gonzales,250,amecafe,2012,7.33,7.25,7,7.08,7.08,7,10,10,10,7,79.75,0.1,1,0,green,22,1050,1050,1400,1,green,79.75,Typica,Washed / Wet
guatemala,antigua,jorge bolanos,275,specialty coffee association,2012,7.58,7.33,7.5,7.33,7,7.33,9.33,9.33,9.33,7.67,79.75,0,0,0,green,4,others,others,1600,69,green,79.75,Bourbon,Washed / Wet
mexico,tuxtla gutierrez,alfredo moises ceja,36,amecafe,2012,7.25,6.83,6.92,7.08,7.25,7.08,10,10,10,7.33,79.75,0.12,0,0,others,7,1100,1100,1600,1,bluish-green,79.75,Typica,Washed / Wet
guatemala,oriente,jesus ramirez,25,asociacion nacional del café,2016,7.42,7.42,7.25,7.58,7.42,7.33,9.33,9.33,9.33,7.25,79.67,0.1,0,2,green,1,1219.2,1219.2,1400,69,green,79.67,Bourbon,Washed / Wet
el salvador,cacahuatique,sociedad cooperativa de cafetaleros de ciudad barrios de r.l.,275,salvadoran coffee council,2016,7.25,7.08,7,6.83,7.33,7.17,10,10,10,7,79.67,0,0,0,bluish-green,12,1250,1250,1550,69,bluish-green,79.67,Bourbon,Washed / Wet
thailand,thailand,doi tung development project,1,specialty coffee association,2013,6.92,7.17,6.83,7.42,7.17,7.08,10,10,10,7.08,79.67,0.12,0,0,bluish-green,0,800,800,1400,1,bluish-green,79.67,NA,Washed / Wet
guatemala,oriente,agripec de la vega y cia.,250,asociacion nacional del café,2013,7.5,7,6.83,7.08,7.08,7.17,10,10,10,7,79.67,0.11,0,0,green,6,1310.64,1310.64,1200,69,green,79.67,Bourbon,Washed / Wet
mexico,"la concordia, chiapas",union ramal santa cruz,310,amecafe,2013,7.42,7.25,6.83,7.58,7.17,6.58,10,10,10,6.83,79.67,0.12,0,0,green,6,1400,1400,1000,1,green,79.67,Typica,Washed / Wet
mexico,"tenango de doria, hidalgo","gomez granillo, veronico",10,amecafe,2012,7.33,7.17,7,6.75,7.08,7,10,10,10,7.33,79.67,0.13,5,0,others,6,975,975,1550,1,bluish-green,79.67,Caturra,Washed / Wet
mexico,"coatepec, coatepec",cecilia avila camberos,253,amecafe,2012,6.92,7.17,7.17,7.17,7.08,7.08,10,10,10,7.08,79.67,0,0,0,others,9,1264,1264,1600,1,bluish-green,79.67,Mundo Novo,Washed / Wet
thailand,others,doi tung development project,5,specialty coffee association,others,7.17,7.17,7,7,7.25,6.92,10,10,10,7.17,79.67,0,1,0,others,0,others,others,1400,1,bluish-green,79.67,Peaberry,Other
mexico,tepetzingo,rogelio jacome morales,50,amecafe,2012,7.08,7,6.92,7.33,7.25,7.08,10,10,10,6.92,79.58,0.12,0,0,others,11,1250,1250,1400,1,bluish-green,79.58,Typica,Washed / Wet
mexico,la concordia,armando luis pohlenz martinez,250,amecafe,2012,7.25,6.92,6.92,7.33,7.25,7,10,10,10,6.92,79.58,0.13,0,0,green,5,1550,1550,1400,1,green,79.58,Caturra,Washed / Wet
colombia,huila,others,250,almacafé,2018,7.25,7.17,7,6.75,7.17,7.33,10,10,10,6.92,79.58,0.1,0,0,others,4,1800,1800,1400,70,bluish-green,79.58,NA,Other
guatemala,"chuva, san marcos",federico weller,223,specialty coffee association,2009,7.08,7,6.83,7.33,7.25,7,10,10,10,7.08,79.58,0.17,1,0,others,19,1066.8,1584.96,1200,69,bluish-green,79.58,NA,Other
nicaragua,jinotega,cooperativa de servicio múltiples el gorrión r.l,275,asociación de cafés especiales de nicaragua,2015,6.92,6.92,7,7.42,7.25,7,10,10,10,7,79.5,0.12,0,0,green,6,1050,1050,1300,69,green,79.5,Caturra,Natural / Dry
taiwan,nantou,張素真,10,blossom valley international,2014,6.92,7,7.17,7,7.42,7,10,10,10,7,79.5,0,0,0,others,1,700,700,1200,2,bluish-green,79.5,Typica,Natural / Dry
colombia,cundinamarca,others,250,almacafé,2013,7.83,7.5,7.42,7.42,7.67,7.5,10,6.67,10,7.5,79.5,0,0,0,green,2,1550,1550,1300,70,green,79.5,Caturra,Washed / Wet
mexico,la concordia,armando luis pohlenz martinez,250,amecafe,2012,7.25,7.08,6.92,7.25,7.58,7.08,9.33,10,10,7,79.5,0.12,1,0,green,20,1550,1550,1550,1,green,79.5,Caturra,Washed / Wet
mexico,"coatepec, coatepec",maria de la luz sanchez todd,127,amecafe,2012,7.25,7.33,7,7.25,7.17,7.17,9.33,10,10,7,79.5,0.12,0,0,bluish-green,5,1100,1100,1400,1,bluish-green,79.5,Typica,Washed / Wet
guatemala,oriente,amilcar lapola,250,asociacion nacional del café,2013,7.08,7.33,7.25,7.58,7.33,7.42,9.33,9.33,9.33,7.42,79.42,0.1,0,0,green,2,1219.2,1219.2,1400,69,green,79.42,Bourbon,Washed / Wet
guatemala,oriente,varios,275,asociacion nacional del café,2014,7.25,7.33,6.83,7,7,7.17,10,10,10,6.83,79.42,0.1,1,0,green,4,1219.2,1219.2,1400,69,green,79.42,Other,Washed / Wet
mexico,xicotepec de juarez,adriana torres rico quevedo,10,amecafe,2012,7,6.83,6.83,7.42,7.33,7.17,10,10,10,6.83,79.42,0.13,0,0,green,30,800,800,1400,1,green,79.42,Typica,Washed / Wet
colombia,pereira,spot,250,specialty coffee association,2013,7.42,7.25,6.75,7.25,7.42,7.25,9.33,9.33,10,7.33,79.33,0,0,0,green,3,1200,1200,1550,3,green,79.33,Caturra,Washed / Wet
mexico,zentla,eric jesus cordoba arroyo,30,amecafe,2012,7,7,6.83,7.33,7.42,6.92,10,10,10,6.83,79.33,0.14,0,0,others,23,950,950,1400,1,bluish-green,79.33,Typica,Washed / Wet
mexico,zentla,antonio cordoba murillo,50,amecafe,2012,7.42,7.17,7.08,7.17,7.08,7.08,9.33,10,10,7,79.33,0.14,0,0,green,19,750,750,1400,1,green,79.33,Typica,Washed / Wet
